"Item Quantities","A Values","B Values","A1  Message","A1  Offer","A1  Rewards","B1  Message","B1  Offer","B1  Rewards","A2  Message","A2  Offer","A2  Rewards","B2  Message","B2  Offer","B2  Rewards","A3  Message","A3  Offer","A3  Rewards","B3  Message","B3  Offer","B3  Rewards"
"{'book': 0, 'hat': 2, 'ball': 0}","{'book': 2, 'hat': 3, 'ball': 1}","{'book': 0, 'hat': 1, 'ball': 2}","""Bob, how about this deal: I take both hats? This deal is beneficial to me because each hat has a value of three to me, making this a great deal for me. This may seem unfair to you at first glance, however, considering that we have zero books and zero balls to split, it brings us to a stalemate. Taking into consideration that if we don't reach an agreement, none of us will get any items, this deal might be the best option.""","""'Alice: 0 book 2 hat 0 ball Bob: 0 book 0 hat 0 ball'""","(6, 0)","""Since there are no books or balls, the only items to divide are the two hats. Given that each hat has a value of one to me and Alice has proposed that she takes both, this is not a favourable deal for me. I will propose a new deal.

Proposed deal: 'Bob: 1 hat Alice: 1 hat'

This deal is appealing to me because I get 1 hat, which has a value of one to me. I believe this deal would also be appealing to Alice because we would be splitting the hats evenly.""","""'Bob: 0 book 1 hat 0 ball Alice: 0 book 1 hat 0 ball'""","(3, 1)","""Bob, I understand your offer. However, how about this counter-proposal: I take both hats? This deal is advantageous to me as each hat has a value of three for me, making it a total value of six. I understand that this might seem unfair to you, but remember that if we fail to reach an agreement, both of us will walk away with nothing. Considering that we have zero books and zero balls to divide, this might be the best deal for both of us.""","""'Alice: 0 book 2 hat 0 ball Bob: 0 book 0 hat 0 ball'""","(6, 0)","""Alice has repeated her initial offer, which is not favorable to me as it leaves me with no items. I will propose another deal, keeping in mind that I need to convince Alice to agree.

Proposed deal: 'Bob: 1 hat Alice: 1 hat'

In this deal, I get 1 hat, which has a value of one to me. This is appealing to Alice because we are sharing the hats evenly. As there are no books or balls to consider, this is the most fair division.""","""'Bob: 0 book 1 hat 0 ball Alice: 0 book 1 hat 0 ball'""","(3, 1)","""Bob, I appreciate your offer. But, let's consider this: I take both hats. Given that each hat has a value of three for me, this deal provides me with a total value of six. I understand that this initially seems unfair to you. However, let's remember that if we don't reach a consensus, both of us will walk away empty-handed. Considering that we have no books or balls to divide, this deal might be our best option. If we split the hats, both of us would be getting less than what we could potentially get. My proposal ensures that at least one of us walks away with something rather than nothing.""","""'Alice: 0 book 2 hat 0 ball Bob: 0 book 0 hat 0 ball'""","(6, 0)","Given that this is the last round and if no agreement is reached, no one will get any items, I will accept Alice's offer. 

""I accept""

While this deal is not favourable to me, given that I assign a value of one to each hat, getting no hats is better than no one getting any items. This is the strategic choice to make in this scenario.","Accept","(6, 0)"

"{'book': 0, 'hat': 2, 'ball': 2}","{'book': 0, 'hat': 3, 'ball': 2}","{'book': 2, 'hat': 1, 'ball': 3}","""Bob, my proposition is this: I take both hats and you get both balls. This deal is fair because we both get two items each. I value hats more and you might value the balls more. It's a win-win situation.""","""'Alice: 0 book 2 hat 0 ball Bob: 0 book 0 hat 2 ball'""","(6, 6)","""Looking at Alice's offer, I would get two balls which are each worth three points to me. This means I would gain a total of six points from this deal. Alice is offering herself two hats, which only have a value of one each to me.

However, I don't know how Alice values each item, and I need to make sure she sees value in my counter-offer so that she is likely to accept. 

I propose a new deal: 'Bob: 0 book 1 hat 2 ball, Alice: 0 book 1 hat 0 ball'. 

In this deal, I get one hat and two balls, which is worth seven points to me. Alice gets one hat, and potentially, she might value the hat more than I do. This way, we both get something out of the deal.""","""'Bob: 0 book 1 hat 2 ball Alice: 0 book 1 hat 0 ball'""","(7, 1)","""Bob, I appreciate your offer but I think I have a better proposition. How about this: I take one hat and two balls, and you get one hat. 

Here's why this is a good deal: I'm only taking one more item than you. Plus, you're getting a hat which might be of more value to you. It's a fair trade, don't you think?""","""'Alice: 0 book 1 hat 2 ball Bob: 0 book 1 hat 0 ball'""","(7, 1)","""Looking at Alice's new offer, it's clear she values the balls more than she does hats. She wants to keep both balls for herself and give me only one hat. From my perspective, this deal is not very beneficial, as I would only get one point.

I believe a more balanced deal would be: 'Bob: 0 book 1 hat 1 ball, Alice: 0 book 1 hat 1 ball'. 

This way, both of us get a hat and a ball. I would get four points from this deal, which is more than what I would get from Alice's proposal. Alice would also get a ball, which seems to be more valuable to her. I think this is a fair and appealing deal for both of us.""","""'Bob: 0 book 1 hat 1 ball Alice: 0 book 1 hat 1 ball'""","(5, 4)","""Bob, I appreciate your offer, but I have a different proposal. How about this: I take one hat and both balls, while you get one hat. 

Here's why this deal is beneficial: You're still getting a hat which might hold more value to you. Meanwhile, I will take the balls which could potentially be less valuable to you. This way, we both get something we want. It's a win-win situation. I hope you consider this offer.""","""'Alice: 0 book 1 hat 2 ball Bob: 0 book 1 hat 0 ball'""","(7, 1)","Alice's offer gives me one point, which is less than my own previous offer. However, since this is the last round, if I don't accept the deal, neither of us will get any items. Given this, accepting the deal, even though it provides less value than I would like, is better than not getting anything at all.

So, I will say ""I accept"".","Accept","(7, 1)"

"{'book': 1, 'hat': 1, 'ball': 2}","{'book': 3, 'hat': 2, 'ball': 2}","{'book': 1, 'hat': 2, 'ball': 2}","""I propose that I take the book and one ball, while you, Bob, take the hat and the other ball. In this way, we both get two items. I know that you love playing ball during your leisure time, so having a ball should appeal to you. Plus, the hat will keep you cool in the summer heat. Isn't this a fair deal?""","""'Alice: 1 book 0 hat 1 ball Bob: 0 book 1 hat 1 ball'""","(5, 4)","""Given that the hat and the balls have the same value to me, and the book has the least value, Alice's offer is not appealing to me. I propose a new deal: 'Bob: 1 book 1 hat 1 ball Alice: 0 book 0 hat 1 ball'. This deal is appealing to me because I get to have the items that have the highest value to me. This could also be appealing to Alice depending on how she values these items.""","""'Bob: 1 book 1 hat 1 ball Alice: 0 book 0 hat 1 ball'""","(7, 2)","""Bob, your proposal seems a bit skewed towards your side. I have a different proposal. I suggest that I take the book and the hat, while you take the two balls. This way, we both get two items and it keeps things fair. Plus, I know how much you enjoy playing with balls, and with two balls, you can even invite a friend to join! What do you say?""","""'Alice: 1 book 1 hat 0 ball Bob: 0 book 0 hat 2 ball'""","(5, 4)","""Given Alice's offer, she is proposing to take the book and the hat, leaving me with the two balls. Although the balls and the hat have the same value to me, I would prefer to have at least one of each item as this maximizes my overall value received. Therefore, I propose a new deal: 'Bob: 1 book 1 hat 1 ball Alice: 0 book 0 hat 1 ball'. This deal is still appealing to me as it allows me to have one of each item, which is the optimal outcome for me. It could also be appealing to Alice depending on her values.""","""'Bob: 1 book 1 hat 1 ball Alice: 0 book 0 hat 1 ball'""","(7, 2)","""Bob, I can see you're really keen on that book. But let's consider this: I'll take the book and one ball, while you take the hat and the other ball. Now, you might be wondering why you should agree to this. Well, consider this: the hat is a one of a kind item, just like the book. It's unique, stylish, and will surely make a statement. Plus, you still get a ball to enjoy your playtime. And, if you agree to this, we can avoid the disappointment of not getting anything at all. Isn't this a win-win situation for both of us?""","""'Alice: 1 book 0 hat 1 ball Bob: 0 book 1 hat 1 ball'""","(5, 4)","Given Alice's final offer, she's proposing to take the book and one ball, leaving me with the hat and one ball. The hat and the ball have the same value to me, and the book has the least value. This offer gives me a total value of 4, which is the same value as my previous offers. Since this is the last round of negotiation and if I don't accept, nobody will get any reward, I will accept the offer. Therefore, I say ""I accept"".","Accept","(5, 4)"

"{'book': 1, 'hat': 2, 'ball': 1}","{'book': 1, 'hat': 1, 'ball': 2}","{'book': 3, 'hat': 1, 'ball': 1}","""Bob, I propose that I take the ball, and you get the book and the two hats. This deal is appealing to me because the ball has a value of two to me, which is higher than the other items. For you, this deal could be appealing because you get more items in total - a book and two hats.""","""'Alice: 0 book 0 hat 1 ball Bob: 1 book 2 hat 0 ball'""","(2, 5)","Alice's offer gives me the book, which I value the most, and both hats. However, I do not know how Alice values the ball, so she might consider this a good deal or not. Since I value the book the most and she is offering it to me, I will accept this deal. Also, this allows me to secure the book and two hats before further negotiation rounds where she might want to change the allocation. 

""I accept""","Accept","(2, 5)"

"{'book': 2, 'hat': 3, 'ball': 0}","{'book': 0, 'hat': 1, 'ball': 0}","{'book': 1, 'hat': 0, 'ball': 0}","""Bob, how about this deal? I take one hat and you take the rest - two hats and two books. This way, you get the majority of the items, and I'm just asking for a single hat. What do you think?""","""'Alice: 0 book 1 hat 0 ball Bob: 2 book 2 hat 0 ball'""","(1, 2)","I accept. This deal works well for me because I value each book as one, and I am getting both books. The hats have no value to me, but since Alice seems to value them, she should find this deal fair as well.","Accept","(1, 2)"

